Store name,Address,Product,Price
Roni ABC,Budapest; Aradi u. 4; 1062,Orbit chewing gum green,179
SPAR szupermarket,Budapest; Teréz krt. 28; 1066,Coca cola 0.5L plastic bottle,230
SPAR szupermarket,Budapest; Teréz krt. 28; 1066,Orbit chewing gum green,145
kingo market,Budapest; Aradi u. 14; 1062 Hungary,Coca cola 0.5L plastic bottle,260
kingo market,Budapest; Aradi u. 14; 1062 Hungary,Orbit chewing gum green,130
Abc,Budapest; Aradi u. 5; 1062 Hungary,Coca cola 0.5L plastic bottle,319
Abc,Budapest; Aradi u. 5; 1062 Hungary,Orbit chewing gum green,179
supermarket,Budapest; Teréz krt. 36; 1066 Hungary,Coca cola 0.5L plastic bottle,289
supermarket,Budapest; Teréz krt. 36; 1066 Hungary,Orbit chewing gum green,149
DM,Budapest; Teréz krt. 54; 1066 Hungary,Coca cola 0.5L plastic bottle,319
DM,Budapest; Teréz krt. 54; 1066 Hungary,Orbit chewing gum green,189
National tobacco shop,Budapest; Vörösmarty u. 63; 1064,Coca cola 0.5L plastic bottle,289
National tobacco shop,Budapest; Vörösmarty u. 63; 1064,Orbit chewing gum green,170
Nemzeti Dohánybolt,Budapest; Szondi u. 31; 1067,Coca cola 0.5L plastic bottle,295
Nemzeti Dohánybolt,Budapest; Szondi u. 31; 1067,Orbit chewing gum green,160
Szondi Élelmiszer,Budapest; Szondi u. 44a; 1063,Coca cola 0.5L plastic bottle,359
Szondi Élelmiszer,Budapest; Szondi u. 44a; 1063,Orbit chewing gum green,170
Vegyes Kereskedés,Budapest; Szondi u. 43; 1064,Coca cola 0.5L plastic bottle,260
Vegyes Kereskedés,Budapest; Szondi u. 43; 1064,Orbit chewing gum green,130
Reál ABC,Budapest; Szondi u. 49-57; 1064,Coca cola 0.5L plastic bottle,269
Reál ABC,Budapest; Szondi u. 49-57; 1064,Orbit chewing gum green,180
K&K Élelmiszer,Budapest; Szondi u. 66; 1063,Coca cola 0.5L plastic bottle,315
K&K Élelmiszer,Budapest; Szondi u. 66; 1063,Orbit chewing gum green,165
Nemzeti Dohánybolt,Szív u. 24; Budapest; 1063,Coca cola 0.5L plastic bottle,319
Nemzeti Dohánybolt,Szív u. 24; Budapest; 1063,Orbit chewing gum green,190
DM,Budapest; Andrássy út 35; 1061,Coca cola 0.5L plastic bottle,319
DM,Budapest; Andrássy út 35; 1061,Orbit chewing gum green,189
